Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/full_adder/full_adder2.dta
   Population Size:,   300
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   8
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,88.99720733,4298,'0 0 0 3 2 1 0 4 1 0 2 4 3 1 1 1 1 1 4 3 4 1 1 3 8 4 4 5 8 1 10 4 1 11 0 3 6 4 3 3 10 1 4 3 0 1 5 0 10 18 2 20 10 1 11 1 4 2 14 3 16 16 4 1 11 0 10 6 1 8 11 2 23 10 3 7 12 1 3 14 3 8 2 1 8 20 2 18 10 1 8 15 3 20 13 2 35 25 3 24 20 4 8 32 1 16 23 0 26 19 1 0 12 0 25 21 2 33 23 0 0 41 3 40 13 3 13 33 1 17 44 4 34 39 1 32 42 4 24 6 0 41 10 3 42 12 1 45 44 2 45 2 0 41 28 1 37 50 3 44 0 2 33 21 2 49 24 2 56 32 0 8 52 4 23 16 3 7 60 2 0 21 2 29 60 2 17 42 3 26 24 1 ,147.00000000,'1 0 0 1 4 2 4 2 4 2 2 3 0 0 2 4 4 1 1 1 1 0 0 1 9 4 1 10 5 4 12 6 1 5 12 2 11 11 1 12 12 2 6 0 1 7 4 4 17 14 1 14 5 4 0 3 2 3 6 0 14 6 4 3 20 3 4 13 2 13 18 0 6 9 3 19 17 2 19 15 0 21 27 4 19 20 0 16 0 4 17 22 0 26 11 3 5 21 0 35 24 4 25 3 2 23 0 4 14 16 3 26 15 0 17 35 1 33 16 0 7 28 4 13 17 4 40 6 4 36 9 3 25 30 4 23 12 4 5 37 3 6 24 3 47 2 0 37 15 3 4 40 0 50 46 3 42 20 1 16 27 3 6 24 3 20 11 1 40 46 1 23 12 4 3 59 0 35 21 4 54 43 1 24 8 4 17 9 2 16 38 4 ,48.00000000,9.92035178,98.413379534248,(AND1 (OR1 (OR1 (AND1 B (XOR1 E D)) (AND1 E D)) (NOT1 (XOR1 A C))) (OR1 (XOR1 A C) C)),(XOR1 (XOR1 A C) (WIRE (OR1 (AND1 B (XOR1 E D)) (AND1 E D)))),(WIRE (XOR1 (XOR1 E D) B))
