Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/full_adder/full_adder2.dta
   Population Size:,   300
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   4
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,88.14041467,4845,'3 0 0 2 0 2 1 1 1 0 2 0 3 1 4 1 3 2 0 4 3 2 0 1 1 12 0 6 2 3 10 8 3 0 2 1 7 2 2 12 2 1 4 9 0 7 4 2 0 5 1 15 16 2 14 13 3 15 2 2 4 1 4 1 10 3 8 13 3 9 11 2 8 21 4 14 18 2 3 5 3 15 24 0 8 13 2 2 5 0 8 27 3 3 1 0 36 19 1 16 29 3 34 2 1 20 21 2 8 27 2 29 10 4 22 32 1 8 10 0 40 17 1 39 0 1 9 25 2 13 31 3 3 4 0 34 9 0 38 35 1 39 9 4 29 32 0 8 21 1 30 15 2 33 27 2 12 37 0 12 33 0 15 26 0 31 37 2 27 57 1 58 37 4 3 25 4 20 24 1 20 30 1 9 18 2 33 26 0 57 9 1 ,146.00000000,'4 0 0 1 1 3 2 2 2 2 1 0 2 3 1 4 1 0 4 0 0 2 1 3 8 8 4 5 10 4 8 12 4 7 5 0 10 1 2 4 0 3 4 11 0 10 12 2 8 10 0 17 19 4 10 6 0 15 0 4 18 17 2 4 5 0 7 5 2 9 8 2 11 16 0 17 7 4 8 6 0 12 7 2 26 1 4 10 1 3 17 17 2 5 23 3 20 35 0 7 16 1 27 3 1 34 16 4 21 8 3 30 33 3 12 11 0 23 23 2 40 23 4 23 39 1 10 41 0 35 44 4 13 2 0 35 42 0 8 42 3 41 0 0 0 11 1 49 17 0 21 9 3 14 42 2 6 15 1 21 11 4 19 37 1 17 8 0 54 22 2 22 31 2 15 10 1 48 51 2 54 35 3 49 20 4 42 57 4 22 55 3 ,48.00000000,13.70856982,187.924886388150,(OR1 (WIRE (AND1 A C)) (AND1 (OR1 C A) (OR1 (AND1 D B) (AND1 E (XOR1 D B))))),(XOR1 (AND1 (OR1 C A) (NOT1 (AND1 A C))) (OR1 (AND1 D B) (AND1 E (XOR1 D B)))),(XOR1 D (XOR1 E B))
