Centro de Investigación y de Estudios Avanzados del IPN,,,,,,,,,
Design of Combinational Logic Circuits using Particle Swarm Optimization,,,,,,,,,
Department of Electrical Engineering - Computing Section,,,,,,,,,
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx,,,,,,,,,
,,,,,,,,,
Statistics of the results obtained in all program runs,,,,,,,,,
,,,,,,,,,
     Processed File:,   data_files/experiment2.dta,,,,,,,,
   Population Size:,200,,,,,,,,
Number of Generations:,1000,,,,,,,,
                 Phi 1:,2,,,,,,,,
                 Phi 2:,2,,,,,,,,
                  Vmax:,4,,,,,,,,
Mutation Percentage:,2,,,,,,,,
  Number of Gates:,5,,,,,,,,
        Cardinality:,10,,,,,,,,
Rows in the Matrix:,5,,,,,,,,
Columns in the Matrix:,5,,,,,,,,
       Neighborhood:,3,,,,,,,,
   Representation:, Integer B,,,,,,,,
,,,,,,,,,
Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,13.65615,561,'1 4 4 3 1 2 4 1 0 2 1 3 4 3 4 4 0 1 2 4 4 3 2 1 0 2 2 0 0 2 0 1 4 2 0 0 2 0 2 0 0 3 2 3 2 0 0 3 1 2 4 2 0 4 1 2 1 0 4 0 1 2 0 0 3 1 4 3 3 1 4 1 2 3 1 ,29,'1 4 3 2 4 4 1 3 3 4 2 3 4 0 2 4 3 0 1 2 1 4 4 4 4 3 4 2 1 4 2 2 4 0 2 3 4 2 3 3 4 2 3 0 4 1 2 1 4 2 0 0 1 3 3 4 4 2 1 2 2 2 4 1 0 1 3 0 4 2 1 2 1 1 1 ,8,2.38871873,5.705977177,(AND1 (XOR1 (AND1 (OR1 (WIRE C) (AND1 A B)) (OR1 (XOR1 A D) (XOR1 B A))) (NOT1 (OR1 (WIRE C) (AND1 A B)))) (XOR1 (NOT1 (OR1 (WIRE C) (AND1 A B))) (XOR1 (OR1 (XOR1 A D) (XOR1 B A)) (XOR1 (AND1 A B) (XOR1 A D)))))
1,13.32395,812,'3 4 2 1 0 0 1 3 4 3 0 0 2 3 3 4 4 4 2 3 4 0 1 2 1 4 1 2 4 3 3 1 0 3 0 2 1 1 3 4 4 1 1 2 0 0 2 1 2 1 3 4 3 4 1 4 1 1 1 2 2 3 4 4 1 2 2 0 2 1 1 2 3 1 3 ,15,'1 1 2 4 0 0 2 4 1 1 1 4 3 2 3 0 4 0 2 3 0 3 4 2 3 4 1 4 0 4 3 3 4 1 2 4 2 4 4 2 0 0 2 1 4 3 1 4 1 0 3 0 0 1 4 3 2 3 0 1 1 3 2 4 1 1 1 3 3 4 3 1 2 0 0 ,8,0.99225319,0.984566398,(XOR1 (XOR1 (AND1 (XOR1 (XOR1 B D) (AND1 D A)) (NOT1 (NOT1 D))) (OR1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D)))) (OR1 (NOT1 (OR1 (AND1 B A) (WIRE C))) (AND1 (XOR1 (XOR1 B D) (AND1 D A)) (NOT1 (NOT1 D)))))
2,13.35175,362,'3 1 2 1 2 2 0 2 1 4 0 2 2 2 0 0 1 1 4 4 2 2 1 4 1 0 0 2 4 2 2 1 2 1 3 0 3 2 0 1 0 1 0 0 0 4 0 4 3 3 4 0 3 2 1 3 0 3 0 2 3 0 1 0 4 3 2 4 3 1 1 1 1 4 1 ,15,'4 2 0 1 2 1 2 1 2 0 4 1 1 1 1 2 4 3 1 2 0 1 4 2 1 0 4 2 1 0 0 1 4 4 2 0 1 3 4 3 1 0 3 1 1 3 3 1 1 3 3 0 4 4 1 3 0 0 2 3 2 3 1 0 0 3 2 3 2 3 2 4 3 0 0 ,8,1.10358594,1.217901938,(OR1 (AND1 (AND1 (NOT1 (AND1 C C)) (AND1 (NOT1 B) (NOT1 D))) (OR1 (NOT1 (AND1 C C)) (OR1 (NOT1 D) (NOT1 B)))) (XOR1 (AND1 (OR1 (NOT1 D) (NOT1 B)) (OR1 (NOT1 D) (NOT1 B))) (NOT1 (XOR1 (OR1 A C) (NOT1 B)))))
