Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,40.06285833,313,'3 1 2 4 4 1 4 3 3 1 3 4 2 2 0 3 0 1 1 1 2 4 2 3 1 4 0 3 4 3 3 2 3 4 4 0 0 1 3 1 2 4 1 1 0 2 3 0 3 4 2 1 0 4 1 4 3 2 2 1 4 3 2 2 1 3 1 2 3 4 3 4 0 2 1 ,46.00000000,'4 3 3 2 2 2 4 3 2 0 0 3 2 0 2 2 0 2 4 4 3 0 0 0 3 1 3 4 4 1 3 4 3 1 1 0 4 0 1 3 0 3 4 2 3 3 3 3 2 0 1 1 0 4 1 4 3 0 0 2 2 2 2 3 0 4 2 3 3 4 2 4 0 4 1 ,14.00000000,3.78760617,14.345960496610,(NOT1 (OR1 (WIRE (OR1 (XOR1 B D) (NOT1 D))) (WIRE (OR1 (XOR1 B D) (NOT1 D))))),(WIRE (XOR1 (AND1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D))) (WIRE (AND1 (OR1 A A) (AND1 C C))))),(WIRE (NOT1 (XOR1 (NOT1 (OR1 A A)) (WIRE (AND1 C C)))))
1,40.20503167,269,'0 2 0 0 2 4 3 1 1 4 3 3 1 3 0 0 0 0 4 1 4 0 4 1 4 0 3 2 4 1 2 2 4 0 1 1 3 1 4 4 2 4 2 0 0 3 3 0 2 0 1 2 1 4 3 4 2 2 2 3 3 2 0 3 3 2 1 3 3 4 1 3 4 2 4 ,47.00000000,'4 4 0 4 1 2 2 3 2 3 0 2 4 3 1 2 2 0 3 3 0 2 3 3 0 0 1 0 2 2 1 1 1 0 2 3 0 0 0 3 2 1 4 3 2 4 1 4 0 4 4 4 1 3 1 3 0 4 0 4 3 4 1 4 0 1 0 0 0 1 4 4 3 3 2 ,14.00000000,4.12358829,17.003980348997,(AND1 (NOT1 (XOR1 (OR1 (OR1 D B) (AND1 B D)) (OR1 (AND1 A C) (AND1 B D)))) (XOR1 (XOR1 (WIRE (AND1 B D)) (XOR1 (AND1 B D) (XOR1 A C))) (OR1 (AND1 (AND1 A C) (AND1 A C)) (XOR1 (AND1 B D) (XOR1 A C))))),(NOT1 (NOT1 (XOR1 (OR1 (OR1 D B) (AND1 B D)) (OR1 (AND1 A C) (AND1 B D))))),(WIRE (OR1 (XOR1 (WIRE (AND1 B D)) (XOR1 (AND1 B D) (XOR1 A C))) (XOR1 (OR1 (AND1 A C) (AND1 B D)) (OR1 (AND1 A C) (AND1 B D)))))
2,39.96036333,1728,'4 3 2 2 4 4 3 3 1 1 4 3 0 2 0 1 3 3 3 0 1 3 3 3 2 4 1 2 4 0 1 3 1 2 4 4 3 4 2 0 4 4 0 0 1 4 2 3 1 4 0 2 1 4 3 2 1 2 2 2 2 4 0 2 1 2 0 3 0 3 4 2 1 4 4 ,47.00000000,'1 3 0 0 4 2 4 0 4 2 0 0 4 3 2 3 0 1 1 4 2 3 3 4 2 2 2 0 0 0 1 0 2 0 3 3 0 1 1 2 0 4 4 0 4 3 3 0 3 1 2 3 0 4 1 1 0 3 2 2 0 0 2 0 3 3 3 4 3 3 1 1 0 4 2 ,11.00000000,4.03151489,16.253112267985,(AND1 (XOR1 (NOT1 (OR1 (OR1 D D) (AND1 A C))) (XOR1 (WIRE (WIRE B)) (AND1 (OR1 D D) (AND1 A C)))) (NOT1 (NOT1 (OR1 (OR1 D D) (AND1 A C))))),(NOT1 (XOR1 (NOT1 (OR1 (OR1 D D) (AND1 A C))) (XOR1 (WIRE (WIRE B)) (AND1 (OR1 D D) (AND1 A C))))),(AND1 (WIRE (OR1 (WIRE (XOR1 C A)) (WIRE (XOR1 C A)))) (OR1 (XOR1 (WIRE (XOR1 C A)) (AND1 (OR1 D D) (AND1 A C))) (NOT1 (OR1 (OR1 D D) (AND1 A C)))))
3,40.16316833,881,'1 2 3 0 0 0 4 2 0 3 1 2 2 0 1 4 3 2 3 4 2 1 4 1 2 0 4 2 0 3 3 2 0 1 3 1 0 2 2 0 4 1 3 1 0 2 0 1 3 2 0 4 1 4 4 1 0 1 3 4 3 1 1 2 3 3 0 1 4 0 2 3 1 3 0 ,47.00000000,'3 1 4 1 3 3 0 2 4 0 4 1 2 0 0 2 0 3 2 2 0 0 3 4 0 2 3 1 4 3 3 4 3 3 3 4 2 3 2 3 0 0 0 4 3 4 3 3 1 2 0 0 0 4 4 0 4 0 1 1 3 0 1 1 0 0 0 1 2 1 3 3 2 4 0 ,14.00000000,4.29923882,18.483454428319,(OR1 (AND1 (AND1 (XOR1 (AND1 A C) (WIRE B)) (NOT1 (NOT1 D))) (OR1 (NOT1 (NOT1 D)) (XOR1 (AND1 A C) (WIRE B)))) (AND1 (OR1 (NOT1 (OR1 C A)) (WIRE (AND1 A C))) (NOT1 (NOT1 (OR1 C A))))),(WIRE (XOR1 (AND1 (XOR1 (AND1 A C) (WIRE B)) (NOT1 (NOT1 D))) (OR1 (NOT1 (NOT1 D)) (XOR1 (AND1 A C) (WIRE B))))),(XOR1 (OR1 (NOT1 (NOT1 (OR1 C A))) (AND1 (XOR1 (AND1 A C) (WIRE B)) (OR1 (AND1 A A) (OR1 C A)))) (AND1 (OR1 (NOT1 (OR1 C A)) (WIRE (AND1 A C))) (NOT1 (NOT1 (OR1 C A)))))
4,40.15891333,1549,'3 3 3 1 1 0 4 2 0 4 1 1 2 4 1 1 4 3 2 2 2 0 1 4 0 2 4 2 4 4 4 1 3 4 2 2 3 0 4 2 3 1 4 4 3 4 3 3 2 4 3 1 1 3 4 4 1 3 3 0 4 1 4 1 4 3 2 3 2 1 3 4 1 4 2 ,63.00000000,'0 2 4 1 0 1 4 0 4 4 1 3 1 0 4 0 2 1 0 1 3 3 2 2 2 0 3 0 3 2 0 4 2 1 3 2 2 1 4 1 3 2 1 0 0 1 1 2 4 2 1 1 0 4 1 2 4 2 1 0 1 3 3 3 0 0 1 0 2 1 4 2 1 4 1 ,16.00000000,4.38689031,19.244806552495,(XOR1 (AND1 (OR1 (XOR1 (WIRE D) (AND1 B B)) (XOR1 (WIRE D) (AND1 A C))) (OR1 (XOR1 (WIRE D) (AND1 B B)) (XOR1 (WIRE D) (AND1 A C)))) (WIRE (XOR1 (XOR1 (WIRE D) (AND1 A C)) (WIRE (AND1 B B))))),(WIRE (WIRE (XOR1 (XOR1 (WIRE D) (AND1 A C)) (WIRE (AND1 B B))))),(NOT1 (WIRE (NOT1 (XOR1 (AND1 A C) (OR1 C A)))))
5,39.62019000,584,'4 1 0 1 2 3 3 1 4 2 4 0 2 4 4 2 1 1 3 3 3 1 4 2 2 3 4 4 3 2 4 3 2 3 1 2 4 1 2 3 1 3 3 0 4 4 1 3 3 2 2 3 3 4 3 3 3 2 0 3 1 0 0 3 2 4 4 4 1 2 4 2 0 1 2 ,47.00000000,'0 2 1 2 4 4 4 2 1 4 3 4 0 3 3 0 2 2 2 1 0 4 2 0 2 2 3 3 3 2 0 1 0 4 2 4 4 3 4 1 3 2 3 4 1 4 4 2 1 2 1 0 2 2 3 1 3 1 1 0 1 3 0 0 4 4 3 3 3 3 1 0 2 1 4 ,16.00000000,3.95004021,15.602817697246,(AND1 (NOT1 (WIRE (XOR1 (XOR1 D B) (AND1 C A)))) (WIRE (XOR1 (XOR1 (XOR1 D B) (AND1 C A)) (OR1 (XOR1 D B) (WIRE B))))),(XOR1 (WIRE (WIRE (XOR1 (XOR1 D B) (AND1 C A)))) (XOR1 (WIRE (XOR1 (XOR1 D B) (AND1 C A))) (WIRE (XOR1 (XOR1 D B) (AND1 C A))))),(OR1 (WIRE (NOT1 (NOT1 (XOR1 C A)))) (WIRE (NOT1 (NOT1 (XOR1 C A)))))
6,40.37476000,818,'4 2 4 0 2 0 1 2 4 3 1 0 1 3 1 1 3 1 0 4 4 0 1 3 3 0 1 3 4 1 1 0 1 2 3 0 3 4 3 4 0 0 4 2 1 1 4 3 3 1 1 1 3 3 0 0 0 3 4 3 4 4 3 3 1 4 2 0 1 0 0 2 4 4 3 ,47.00000000,'1 1 0 1 3 0 2 2 1 2 0 4 2 3 1 0 0 0 4 1 1 2 3 1 4 0 3 0 1 2 1 3 1 4 4 2 1 4 3 2 4 0 2 2 1 4 4 2 3 4 1 1 4 2 1 2 0 4 2 4 0 4 4 1 2 3 0 3 3 3 4 4 2 2 1 ,18.00000000,3.68610340,13.587358275743,(WIRE (WIRE (AND1 (OR1 (AND1 D B) (OR1 B D)) (OR1 (AND1 A C) (AND1 D B))))),(XOR1 (AND1 (OR1 (XOR1 (XOR1 A C) (OR1 B D)) (OR1 (AND1 A C) (AND1 D B))) (OR1 (XOR1 (XOR1 A C) (OR1 B D)) (OR1 (AND1 A C) (AND1 D B)))) (OR1 (AND1 (OR1 (AND1 D B) (OR1 B D)) (OR1 (AND1 A C) (AND1 D B))) (AND1 (WIRE (XOR1 A C)) (OR1 (AND1 D B) (XOR1 A C))))),(OR1 (WIRE (AND1 (WIRE (XOR1 A C)) (OR1 (AND1 D B) (XOR1 A C)))) (WIRE (AND1 (WIRE (XOR1 A C)) (OR1 (AND1 D B) (XOR1 A C)))))
7,40.52960333,355,'1 1 0 3 4 2 1 0 3 4 2 0 4 2 1 0 1 4 3 4 0 3 4 2 1 3 1 4 4 1 1 0 4 2 4 1 4 0 1 1 3 4 2 4 4 3 0 2 4 2 1 4 0 3 3 0 4 0 1 0 0 4 0 0 3 4 2 1 4 3 3 3 3 4 2 ,47.00000000,'1 3 0 1 4 4 4 4 0 1 2 4 1 2 3 0 0 1 1 3 1 1 2 2 3 0 3 2 4 4 0 2 2 0 2 1 1 1 3 3 3 3 4 3 4 4 2 0 1 4 1 0 4 1 4 0 2 2 0 2 2 3 0 1 0 4 3 3 0 1 3 0 3 2 3 ,15.00000000,4.13228633,17.075790309359,(AND1 (NOT1 (XOR1 (AND1 (AND1 A C) (OR1 A C)) (OR1 (NOT1 D) (AND1 A C)))) (AND1 (XOR1 (AND1 (AND1 A C) (OR1 A C)) (XOR1 (AND1 B B) (NOT1 D))) (OR1 (NOT1 (AND1 A C)) (OR1 (OR1 A C) (OR1 A C))))),(XOR1 (NOT1 (XOR1 (AND1 (AND1 A C) (OR1 A C)) (OR1 (NOT1 D) (AND1 A C)))) (XOR1 (XOR1 (AND1 (AND1 A C) (OR1 A C)) (OR1 (NOT1 D) (AND1 A C))) (XOR1 (AND1 (AND1 A C) (OR1 A C)) (XOR1 (AND1 B B) (NOT1 D))))),(XOR1 (WIRE (XOR1 (NOT1 (AND1 A C)) (OR1 (OR1 A C) (OR1 A C)))) (OR1 (XOR1 (NOT1 (AND1 A C)) (OR1 (OR1 A C) (OR1 A C))) (OR1 (OR1 (OR1 A C) (OR1 A C)) (XOR1 (AND1 B B) (NOT1 D)))))
8,40.56165000,475,'1 3 4 0 2 4 4 2 0 1 3 0 3 3 4 1 1 3 1 0 4 2 3 1 1 2 4 4 1 4 3 1 4 1 4 3 2 4 2 4 4 0 2 3 4 4 4 4 1 4 4 2 3 0 2 4 2 3 3 3 3 3 0 1 3 4 4 1 3 3 3 3 3 0 2 ,47.00000000,'3 0 1 3 0 2 1 1 2 4 1 2 1 1 2 0 0 0 3 2 0 2 0 0 0 4 3 3 0 3 1 1 0 2 1 2 3 2 0 3 2 2 4 3 3 2 3 1 0 0 3 3 0 2 2 3 0 2 3 4 4 3 3 0 3 2 4 2 3 3 4 4 4 4 2 ,16.00000000,4.15256498,17.243795944187,(AND1 (NOT1 (NOT1 (OR1 (AND1 A C) (AND1 B D)))) (NOT1 (NOT1 (OR1 (AND1 A C) (AND1 B D))))),(XOR1 (XOR1 (WIRE (XOR1 (XOR1 A C) (XOR1 B D))) (XOR1 (OR1 (AND1 A C) (AND1 B D)) (XOR1 (XOR1 A C) (AND1 A C)))) (NOT1 (NOT1 (OR1 (AND1 A C) (AND1 B D))))),(WIRE (WIRE (AND1 (XOR1 (XOR1 D D) (XOR1 A C)) (XOR1 (XOR1 D D) (XOR1 A C)))))
9,40.14341000,485,'2 1 4 1 3 0 0 2 0 0 2 4 3 1 4 1 0 2 4 2 2 1 2 4 3 2 2 1 1 0 3 4 3 1 4 2 1 2 1 1 0 0 1 4 3 2 2 3 3 3 3 2 1 3 0 1 3 0 3 2 2 1 4 0 3 2 4 2 3 2 4 0 2 0 2 ,46.00000000,'1 0 0 3 1 4 1 1 3 4 2 1 4 0 1 2 4 0 3 2 4 1 4 1 3 4 2 3 1 3 0 3 2 2 0 1 4 2 3 4 1 1 2 4 0 1 4 1 2 3 0 0 4 3 2 2 4 1 3 4 2 3 4 0 2 4 1 1 2 3 0 2 4 2 4 ,12.00000000,3.50908681,12.313690238574,(XOR1 (WIRE (OR1 (NOT1 (XOR1 D B)) (XOR1 (AND1 B D) (AND1 A C)))) (WIRE (AND1 (NOT1 (XOR1 D B)) (NOT1 (AND1 B D))))),(NOT1 (WIRE (OR1 (NOT1 (XOR1 D B)) (XOR1 (AND1 B D) (AND1 A C))))),(WIRE (NOT1 (WIRE (NOT1 (XOR1 A C)))))
