Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,38.60307833,1888,'111000000100011111011110110011110101111100011011010110110100100101011100110000101001101001000000110000110111111111010110111010110110000100100011001101000101010101010110110101010111011011010011010101000001111010101100000000100,46.00000000,'011000101101000100111110010100110111111110101111100011111110111110000110101011011011001101110101110000010001110011100010011000101011110100011101000011010100000100011100101010001001100011001101011010010000000101100111000000000,22.00000000,2.72307575,7.415141523892,(NOT1 (OR1 (NOT1 (XOR1 (AND1 C A) (AND1 D B))) (NOT1 (OR1 (AND1 D B) (OR1 D B))))),(AND1 (OR1 (NOT1 (XOR1 (AND1 C A) (AND1 D B))) (NOT1 (OR1 (AND1 D B) (OR1 D B)))) (AND1 (OR1 (OR1 (AND1 D B) (OR1 D B)) (OR1 (AND1 D B) (OR1 D B))) (NOT1 (XOR1 (AND1 C A) (AND1 D B))))),(NOT1 (WIRE (AND1 (XOR1 (NOT1 A) (WIRE C)) (XOR1 (NOT1 A) (WIRE C)))))
1,38.97579833,1022,'100010100110100010101111001001111111011011010101011100010111101000101111111100100111111011101011101110100100111010010001010111011101100100111010001001111111111111000011100011100010100011000101100111111110010110101110110110011,45.00000000,'101000011011111001001110100110100101111101111110001110110000110001010010101101000101000111011100101000010011011101111000010001110111111111101010010111110000010001011101101010010011001101001000100101111000101100101100110110001,22.00000000,2.92350234,8.546865946030,(AND1 (NOT1 (NOT1 (AND1 (OR1 A C) (OR1 A C)))) (XOR1 (AND1 (XOR1 (XOR1 A C) (NOT1 B)) (XOR1 (OR1 A C) (NOT1 D))) (NOT1 (AND1 (OR1 A C) (OR1 A C))))),(NOT1 (NOT1 (XOR1 (XOR1 (OR1 A C) (NOT1 D)) (XOR1 (XOR1 A C) (NOT1 B))))),(NOT1 (NOT1 (NOT1 (NOT1 (XOR1 A C)))))
2,38.11090500,877,'111111010001011101101001010110010011100010100110101111100001011100010110101011011011100111011110110110101110000010011001011111110111100101000010111000100011110010000110001101100000110101001110111111011010000001000100101110000,43.00000000,'011110101010000000111101101110101000010100001000111001011111000011001001111101111001011100100000100101000101100111111111010110011110000100001000011100001010111110110110001001000011111000100110101100000001101001111111001010011,22.00000000,2.62067264,6.867925080994,(OR1 (XOR1 (WIRE (NOT1 (AND1 B D))) (OR1 (WIRE (NOT1 C)) (WIRE (XOR1 A C)))) (NOT1 (OR1 (WIRE (NOT1 C)) (WIRE (XOR1 A C))))),(NOT1 (XOR1 (WIRE (NOT1 (AND1 B D))) (OR1 (WIRE (NOT1 C)) (WIRE (XOR1 A C))))),(AND1 (OR1 (OR1 (WIRE (NOT1 C)) (WIRE (XOR1 A C))) (OR1 (WIRE (XOR1 A C)) (NOT1 (AND1 B D)))) (NOT1 (NOT1 (WIRE (XOR1 A C)))))
3,38.13300833,1124,'110001001010000001100010100010111100011111111101100100001010110000001010110011111010010011100100111011010111001010010011010101011000100110111101101000001110100011011000101100000100111001101100000111001110111101001000100010000,44.00000000,'101111100111000100110001101010000001110010010100001100110101100010100000011101010010111000110110100110101100011101100101101001111001001010010000011110011001111100001101010101001001110001001001111011110111001110111010101101010,22.00000000,2.58198447,6.666643783266,(AND1 (WIRE (NOT1 (NOT1 (OR1 C A)))) (OR1 (NOT1 (WIRE (XOR1 A C))) (NOT1 (WIRE (XOR1 A C))))),(NOT1 (XOR1 (XOR1 (NOT1 (OR1 C A)) (XOR1 (OR1 B B) (NOT1 D))) (NOT1 (WIRE (XOR1 A C))))),(NOT1 (OR1 (NOT1 (WIRE (XOR1 A C))) (NOT1 (WIRE (XOR1 A C)))))
4,38.98822333,489,'011110100011010111011100011101010100111000101100000100111101111011011111101010101011000011101001110101111011010100010010101000010100011000010100000110001001011110010001111101110001110111111100010000110101100001000111000100101,46.00000000,'101111000101000010011010101011101100011100110111101001001000000011000010000100011111011111110011000011111101101100000111011111011011011110001001000100110010001110011101100101110000011011010000111110011110001101001001010111111,22.00000000,2.91440983,8.493784643465,(NOT1 (OR1 (OR1 (XOR1 (AND1 C A) (XOR1 D B)) (NOT1 (WIRE D))) (WIRE (XOR1 (AND1 C A) (XOR1 D B))))),(AND1 (OR1 (OR1 (XOR1 (AND1 C A) (XOR1 D B)) (NOT1 (WIRE D))) (WIRE (XOR1 (AND1 C A) (XOR1 D B)))) (OR1 (WIRE (XOR1 (AND1 C A) (XOR1 D B))) (AND1 (NOT1 (XOR1 A C)) (XOR1 (AND1 C A) (XOR1 D B))))),(XOR1 (OR1 (OR1 (XOR1 (AND1 C A) (XOR1 D B)) (NOT1 (WIRE D))) (WIRE (XOR1 (AND1 C A) (XOR1 D B)))) (XOR1 (OR1 (XOR1 (AND1 C A) (XOR1 D B)) (NOT1 (WIRE D))) (NOT1 (NOT1 (XOR1 A C)))))
5,38.57053333,246,'010100010110011100100010100111110100101111101110011001001101111111111001110101101100001100100101101111001011011101101111001011101100000100101010001011010001011100010100001011011110011000010011011000110001111100111001100111100,44.00000000,'110111011101100100111100011011011100110011111100001000101000000101001011100111101100111111011001111001111110100100100110001011011011101001011101001010001110100100101111001001010000111000010010010001111000101101110001101111010,22.00000000,2.66078905,7.079798382227,(NOT1 (OR1 (AND1 (AND1 (XOR1 B D) (NOT1 C)) (OR1 (XOR1 B D) (XOR1 C B))) (AND1 (OR1 (XOR1 B D) (XOR1 C B)) (XOR1 (AND1 A C) (XOR1 B D))))),(AND1 (OR1 (AND1 (AND1 (XOR1 B D) (NOT1 C)) (OR1 (XOR1 B D) (XOR1 C B))) (AND1 (OR1 (XOR1 B D) (XOR1 C B)) (XOR1 (AND1 A C) (XOR1 B D)))) (OR1 (AND1 (AND1 (XOR1 B D) (NOT1 C)) (OR1 (XOR1 B D) (XOR1 C B))) (AND1 (OR1 (XOR1 B D) (XOR1 C B)) (XOR1 (AND1 A C) (XOR1 B D))))),(NOT1 (NOT1 (WIRE (OR1 (XOR1 A C) (XOR1 A C)))))
6,38.70073167,1030,'000111101100111100110001000011011000000011010010100010011110010001001011110100001010010011001101111001011011011111101101001111011110011101001111101011110001110101111111101100011100101010010100000100011010011000011100001100011,44.00000000,'100001011111100010100011110100111010011010110101111010010000011111011000100000011110111100101110001110111101110011011101101111110101101001110001010100101001100101010101010100101110001111010000000100101011010101100100000000001,22.00000000,2.74880704,7.555940131318,(NOT1 (NOT1 (NOT1 (NOT1 (AND1 D D))))),(XOR1 (XOR1 (WIRE (OR1 (XOR1 A C) (NOT1 A))) (NOT1 (NOT1 (AND1 B B)))) (NOT1 (NOT1 (NOT1 (AND1 D D))))),(WIRE (AND1 (AND1 (OR1 (XOR1 A C) (NOT1 A)) (WIRE (XOR1 A C))) (AND1 (OR1 (XOR1 A C) (NOT1 A)) (WIRE (XOR1 A C)))))
7,38.92554500,1928,'111000101000111100011001001101010100011110100010110100100000100010110011110011011001001001010010110000101110100001111000101111001101111100111011110101000110011111101101000110000100000011101101001010100100110011010100000011011,47.00000000,'100011000011110001000001111101010100101001001110111111100111111100001101111101100110010100110111001001100111000110011001101111110101111001100010010101101111011010110010010010111111000000011111101000011011011001110000000011101,24.00000000,2.75362817,7.582468119696,(AND1 (WIRE (NOT1 (XOR1 (XOR1 D B) (AND1 C A)))) (AND1 (OR1 (WIRE (OR1 D B)) (WIRE (OR1 D B))) (OR1 (WIRE (OR1 D B)) (WIRE (OR1 D B))))),(NOT1 (WIRE (NOT1 (XOR1 (XOR1 D B) (AND1 C A))))),(OR1 (XOR1 (OR1 (XOR1 (OR1 D B) (XOR1 A C)) (XOR1 (OR1 D B) (XOR1 A C))) (OR1 (WIRE (OR1 D B)) (WIRE (OR1 D B)))) (XOR1 (OR1 (XOR1 (OR1 D B) (XOR1 A C)) (XOR1 (OR1 D B) (XOR1 A C))) (OR1 (WIRE (OR1 D B)) (WIRE (OR1 D B)))))
8,38.10404500,1797,'101010000011110101010100100100010101011110100011100100111101010010110110001111011111110110000010010111011100101110111110111111001101011100110111000001001110110101111010000010101010111001100011111111010101001010010100111001011,46.00000000,'101100011001111010100000111110001000000100110000111011011011001101011110101010010110100101000010100000000000101111110010110001111100000000011101001100010001000110001001010000011111110100110101111110101110011011110110011101011,22.00000000,2.66067654,7.079199637989,(XOR1 (AND1 (XOR1 (OR1 (XOR1 C A) (AND1 D B)) (WIRE (AND1 D B))) (XOR1 (OR1 (XOR1 C A) (AND1 D B)) (WIRE (AND1 D B)))) (OR1 (NOT1 (XOR1 (AND1 A C) (XOR1 D B))) (XOR1 (OR1 (XOR1 C A) (AND1 D B)) (WIRE (AND1 D B))))),(NOT1 (AND1 (NOT1 (XOR1 (AND1 A C) (XOR1 D B))) (NOT1 (XOR1 (AND1 A C) (XOR1 D B))))),(OR1 (AND1 (XOR1 (OR1 (XOR1 C A) (AND1 D B)) (WIRE (AND1 D B))) (XOR1 (OR1 (XOR1 C A) (AND1 D B)) (WIRE (AND1 D B)))) (NOT1 (WIRE (NOT1 (XOR1 C A)))))
9,38.53141333,916,'001001110000001100011111111010100100000010101111010000011111010100101100011101011010111000110110000000111100100100010110010111010000000111111011011011110110110001111110101111010111000010101111010111001100011000000101000001001,46.00000000,'001110100101000010000011001011110111110111101100001100100001011010110110111110100101011100000111100000110010111100111100111000100011011010000000010111100101111001000000011110110011110101111111011111011111100110010010010101111,22.00000000,2.76758737,7.659539869196,(AND1 (WIRE (NOT1 (AND1 (NOT1 D) (NOT1 D)))) (OR1 (XOR1 (AND1 (NOT1 D) (NOT1 D)) (XOR1 (AND1 A C) (OR1 B B))) (XOR1 (AND1 (NOT1 D) (NOT1 D)) (XOR1 (AND1 A C) (OR1 B B))))),(NOT1 (OR1 (XOR1 (AND1 (NOT1 D) (NOT1 D)) (XOR1 (AND1 A C) (OR1 B B))) (XOR1 (AND1 (NOT1 D) (NOT1 D)) (XOR1 (AND1 A C) (OR1 B B))))),(WIRE (OR1 (NOT1 (NOT1 (XOR1 C A))) (NOT1 (NOT1 (XOR1 C A)))))
