Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,40.83310000,951,'0 2 4 4 2 3 3 1 2 3 1 4 4 4 2 3 2 1 3 3 3 3 3 1 1 0 3 0 3 2 0 1 3 4 3 0 2 2 1 4 4 0 3 2 2 2 2 0 3 3 1 0 1 2 2 1 0 1 1 3 3 2 1 4 0 4 1 1 2 1 4 2 2 2 2 ,62.00000000,'2 4 4 3 3 2 0 1 3 0 4 3 3 1 0 3 1 3 0 2 3 3 2 2 2 0 2 3 4 0 4 3 2 1 3 2 4 0 4 4 2 3 2 0 2 0 3 0 4 1 0 4 1 1 3 1 1 2 2 0 2 4 1 2 0 4 0 3 4 1 1 1 3 3 4 ,17.00000000,4.51615556,20.395661056658,(OR1 (AND1 (OR1 (OR1 (XOR1 D B) (XOR1 D B)) (OR1 (XOR1 D B) (XOR1 D B))) (AND1 (NOT1 (XOR1 A C)) (WIRE (WIRE A)))) (NOT1 (WIRE (OR1 (XOR1 D B) (NOT1 D))))),(XOR1 (WIRE (AND1 (NOT1 (XOR1 A C)) (WIRE (WIRE A)))) (AND1 (OR1 (OR1 (XOR1 D B) (XOR1 D B)) (OR1 (XOR1 D B) (XOR1 D B))) (OR1 (OR1 (XOR1 D B) (XOR1 D B)) (OR1 (XOR1 D B) (XOR1 D B))))),(NOT1 (OR1 (AND1 (NOT1 (XOR1 A C)) (NOT1 (XOR1 A C))) (AND1 (NOT1 (XOR1 A C)) (NOT1 (XOR1 A C)))))
1,40.70311667,1215,'2 2 1 1 3 0 2 4 0 0 4 3 1 3 4 2 4 4 4 3 3 3 0 4 1 0 0 1 2 1 3 1 4 0 1 3 1 2 2 2 3 2 4 1 4 1 3 0 1 3 2 4 4 3 2 3 4 2 1 2 4 2 4 1 4 2 4 3 4 3 2 3 1 3 2 ,47.00000000,'1 3 3 1 1 3 0 4 1 4 4 2 0 1 1 2 3 0 2 0 1 1 0 3 1 1 2 3 1 1 1 1 2 0 2 2 0 3 0 1 4 2 1 0 1 1 2 1 0 3 2 3 4 2 3 4 3 0 4 1 4 2 3 4 1 4 3 3 1 2 0 2 3 3 4 ,22.00000000,3.07520898,9.456910286372,(XOR1 (NOT1 (NOT1 (WIRE (XOR1 B D)))) (WIRE (XOR1 (OR1 (AND1 B D) (AND1 C A)) (WIRE (XOR1 B D))))),(NOT1 (NOT1 (WIRE (XOR1 (AND1 C A) (XOR1 B D))))),(XOR1 (NOT1 (NOT1 (WIRE (XOR1 B D)))) (XOR1 (NOT1 (WIRE (XOR1 B D))) (NOT1 (XOR1 (WIRE A) (OR1 C C)))))
2,40.78008167,122,'3 2 2 4 1 0 0 2 1 0 2 4 1 3 4 2 3 4 4 3 4 4 0 1 4 3 1 2 1 2 4 0 1 2 3 1 1 1 3 2 3 3 4 4 2 1 1 4 3 0 0 2 4 4 3 1 3 0 3 3 3 4 2 0 2 1 4 3 2 2 4 2 1 4 4 ,46.00000000,'3 2 3 0 3 0 3 2 0 0 1 0 3 1 0 0 1 2 1 0 3 4 2 1 4 1 3 2 3 2 2 1 0 0 1 4 0 2 2 0 4 4 3 0 3 0 2 2 4 0 4 2 2 4 0 3 1 0 2 2 0 1 1 0 3 0 3 4 0 0 2 4 2 2 4 ,20.00000000,3.60811829,13.018517593309,(NOT1 (WIRE (WIRE (OR1 (XOR1 B D) (NOT1 D))))),(OR1 (XOR1 (OR1 (OR1 (XOR1 B D) (NOT1 D)) (OR1 (XOR1 B D) (XOR1 A C))) (OR1 (OR1 (XOR1 B D) (NOT1 D)) (OR1 (XOR1 B D) (XOR1 A C)))) (XOR1 (WIRE (XOR1 (XOR1 B D) (XOR1 A C))) (NOT1 (NOT1 (OR1 A C))))),(NOT1 (WIRE (OR1 (NOT1 (OR1 A C)) (XOR1 (OR1 A C) (XOR1 A C)))))
3,40.42523500,1267,'3 3 0 4 2 4 2 0 0 3 3 3 1 1 1 1 0 2 4 3 1 2 0 3 3 3 3 3 4 0 3 0 0 4 0 1 0 4 3 1 1 0 4 2 4 4 4 1 2 4 3 0 1 1 3 3 3 3 2 3 4 0 0 4 0 4 1 4 2 1 2 3 4 2 2 ,47.00000000,'2 0 3 2 1 3 0 0 1 2 2 4 0 3 2 4 0 4 1 0 4 4 2 3 2 3 0 3 1 1 3 1 2 4 4 3 0 2 4 0 1 4 3 2 1 3 3 3 1 4 0 3 1 0 1 4 2 3 3 3 3 1 4 0 0 3 2 4 1 4 3 4 2 0 4 ,12.00000000,3.57821094,12.803593528099,(AND1 (WIRE (AND1 (OR1 (OR1 B B) (WIRE D)) (OR1 (OR1 B B) (WIRE D)))) (OR1 (XOR1 (AND1 (WIRE D) (OR1 B B)) (WIRE (AND1 C A))) (XOR1 (AND1 (WIRE D) (OR1 B B)) (WIRE (AND1 C A))))),(XOR1 (WIRE (AND1 (OR1 (OR1 B B) (WIRE D)) (OR1 (OR1 B B) (WIRE D)))) (OR1 (XOR1 (AND1 (WIRE D) (OR1 B B)) (WIRE (AND1 C A))) (XOR1 (AND1 (WIRE D) (OR1 B B)) (WIRE (AND1 C A))))),(NOT1 (WIRE (WIRE (NOT1 (XOR1 A C)))))
4,40.73051167,1442,'2 0 4 3 1 1 0 2 0 1 3 4 3 4 4 2 2 3 0 4 3 3 0 3 0 1 2 2 1 1 2 2 0 2 4 1 3 0 2 3 0 0 3 4 4 0 1 1 1 0 1 1 0 4 0 3 4 4 3 2 3 1 4 3 2 3 0 4 4 0 0 1 2 3 3 ,47.00000000,'2 0 4 0 2 0 3 1 0 3 2 2 2 4 4 3 3 0 3 2 1 1 2 1 2 1 1 0 0 4 1 3 2 0 1 0 2 2 3 0 4 1 0 2 4 0 3 0 2 0 2 4 4 2 4 1 3 2 3 2 2 4 4 2 2 0 3 0 2 1 2 1 2 1 2 ,22.00000000,3.31282121,10.974784371496,(XOR1 (XOR1 (AND1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D))) (AND1 (NOT1 (XOR1 C A)) (WIRE (AND1 A C)))) (OR1 (OR1 (WIRE (XOR1 B D)) (OR1 (AND1 A C) (OR1 D B))) (AND1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D))))),(WIRE (XOR1 (AND1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D))) (AND1 (NOT1 (XOR1 C A)) (WIRE (AND1 A C))))),(XOR1 (OR1 (AND1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D))) (OR1 (WIRE (XOR1 B D)) (OR1 (AND1 A C) (OR1 D B)))) (NOT1 (XOR1 (NOT1 (XOR1 C A)) (OR1 (AND1 A C) (OR1 D B)))))
5,41.91246833,541,'1 1 1 3 1 4 2 4 0 4 2 4 3 3 1 2 1 1 3 4 3 1 4 3 2 1 0 0 4 0 1 4 2 3 1 3 4 4 3 4 2 4 0 3 3 1 2 3 0 2 2 1 2 1 4 1 4 1 2 2 2 0 3 3 3 0 1 0 3 3 4 0 4 2 1 ,63.00000000,'2 0 0 2 3 3 3 0 4 4 3 3 0 3 1 4 2 0 2 1 3 2 4 3 1 4 0 1 4 0 0 1 2 2 1 1 0 0 0 4 1 0 2 1 3 3 0 4 4 0 4 3 4 2 2 2 1 1 0 4 2 0 3 0 2 3 1 2 0 3 4 0 0 2 1 ,22.00000000,5.03034192,25.304339873989,(WIRE (OR1 (WIRE (AND1 (AND1 C A) (XOR1 D B))) (WIRE (AND1 (OR1 B B) (OR1 D D))))),(AND1 (XOR1 (WIRE (OR1 (AND1 C A) (XOR1 D B))) (WIRE (AND1 (AND1 C A) (XOR1 D B)))) (XOR1 (WIRE (OR1 (AND1 C A) (XOR1 D B))) (WIRE (AND1 (AND1 C A) (XOR1 D B))))),(WIRE (NOT1 (NOT1 (WIRE (XOR1 A C)))))
6,40.54227000,1717,'2 4 0 2 4 4 1 2 3 1 3 4 0 3 4 3 1 4 2 0 1 2 1 4 2 0 2 0 3 4 1 3 3 3 2 4 4 2 2 3 1 0 3 2 2 2 1 2 1 1 1 2 3 0 2 1 1 0 2 0 3 4 0 0 1 3 1 2 2 4 4 2 0 4 1 ,47.00000000,'1 4 1 0 2 3 3 2 4 0 1 4 0 2 4 1 1 0 3 3 3 0 0 4 1 0 4 4 1 3 4 0 3 1 4 3 2 0 2 2 2 0 4 3 2 1 3 0 2 1 2 0 1 4 4 4 0 3 1 4 2 3 4 1 1 0 3 0 1 2 1 1 0 4 0 ,16.00000000,3.07890076,9.479629913747,(AND1 (OR1 (NOT1 (XOR1 (AND1 C A) (XOR1 B D))) (XOR1 (NOT1 (WIRE B)) (XOR1 (WIRE B) (XOR1 C A)))) (AND1 (WIRE (OR1 (WIRE B) (AND1 C A))) (NOT1 (XOR1 (AND1 C A) (XOR1 B D))))),(WIRE (NOT1 (NOT1 (XOR1 (AND1 C A) (XOR1 B D))))),(NOT1 (OR1 (XOR1 (NOT1 (WIRE B)) (XOR1 (WIRE B) (XOR1 C A))) (XOR1 (NOT1 (WIRE B)) (XOR1 (WIRE B) (XOR1 C A)))))
7,40.75390000,1425,'4 2 1 3 1 0 3 1 4 2 1 0 2 0 4 1 2 3 3 0 1 2 2 3 4 4 0 1 3 3 2 1 3 3 3 3 0 3 3 1 2 2 1 3 4 3 1 1 0 2 2 4 2 1 0 2 2 1 3 2 2 2 0 3 0 4 4 0 2 2 2 2 4 0 4 ,47.00000000,'1 0 3 4 2 3 3 1 2 4 2 2 0 2 1 2 1 3 1 1 4 4 0 4 2 3 0 0 0 3 2 4 2 1 4 1 2 3 1 1 1 2 2 0 3 1 3 4 0 1 2 1 3 2 2 3 4 1 2 4 1 0 4 3 4 1 0 2 2 3 3 2 4 2 3 ,23.00000000,3.35306349,11.243034790038,(AND1 (OR1 (XOR1 (OR1 (AND1 C B) (OR1 A C)) (AND1 (XOR1 C A) (XOR1 C A))) (WIRE (WIRE (AND1 D B)))) (OR1 (XOR1 (OR1 (AND1 C B) (OR1 A C)) (AND1 (XOR1 C A) (XOR1 C A))) (WIRE (WIRE (AND1 D B))))),(XOR1 (NOT1 (WIRE (WIRE (XOR1 D B)))) (OR1 (NOT1 (OR1 (AND1 C B) (OR1 A C))) (WIRE (AND1 (XOR1 C A) (XOR1 C A))))),(NOT1 (NOT1 (WIRE (AND1 (XOR1 C A) (XOR1 C A)))))
8,40.79609000,944,'2 0 0 1 3 4 4 2 4 4 2 0 3 1 0 2 1 2 1 0 2 1 0 4 1 4 0 4 1 2 1 2 1 4 2 0 0 0 0 2 2 0 4 4 3 0 3 3 4 0 4 3 3 0 4 0 0 2 0 4 1 1 0 2 2 1 0 4 0 4 4 2 2 3 0 ,61.00000000,'3 4 1 3 3 2 2 2 1 3 2 4 4 3 3 4 4 3 4 2 2 1 4 2 3 1 2 2 3 1 1 0 4 4 4 0 0 4 2 0 3 4 4 1 4 1 4 2 0 0 1 4 1 0 1 1 0 0 1 0 0 0 0 4 2 1 1 1 4 1 1 2 1 2 2 ,22.00000000,4.69963269,22.086547378573,(AND1 (XOR1 (WIRE (NOT1 (AND1 D B))) (OR1 (NOT1 (XOR1 B D)) (XOR1 (XOR1 B D) (AND1 C A)))) (XOR1 (WIRE (NOT1 (AND1 D B))) (OR1 (NOT1 (XOR1 B D)) (XOR1 (XOR1 B D) (AND1 C A))))),(OR1 (AND1 (AND1 (XOR1 (XOR1 B D) (AND1 C A)) (XOR1 (XOR1 B D) (AND1 C A))) (AND1 (XOR1 (XOR1 B D) (AND1 C A)) (XOR1 (XOR1 B D) (AND1 C A)))) (AND1 (AND1 (XOR1 (XOR1 B D) (AND1 C A)) (XOR1 (XOR1 B D) (AND1 C A))) (AND1 (XOR1 (XOR1 B D) (AND1 C A)) (XOR1 (XOR1 B D) (AND1 C A))))),(AND1 (WIRE (OR1 (NOT1 (XOR1 B D)) (XOR1 (XOR1 B D) (AND1 C A)))) (XOR1 (AND1 (NOT1 (XOR1 A C)) (NOT1 (XOR1 A C))) (OR1 (NOT1 (XOR1 B D)) (XOR1 (XOR1 B D) (AND1 C A)))))
9,41.02622500,918,'4 3 4 2 0 1 3 1 1 2 0 0 3 1 0 1 4 1 3 1 4 2 0 3 3 2 2 3 4 1 2 1 4 4 4 3 1 2 3 2 1 2 3 3 4 1 4 1 4 1 2 3 1 4 1 4 3 2 2 3 3 2 0 2 4 2 4 4 3 0 4 4 3 4 2 ,47.00000000,'4 2 4 2 3 4 0 3 1 0 1 1 3 2 4 1 3 1 2 0 4 2 0 3 4 2 2 3 4 1 4 0 1 4 1 3 1 2 3 2 3 2 1 3 4 1 4 0 3 3 2 3 1 4 1 3 2 2 2 3 0 2 1 2 4 2 4 2 0 0 1 0 1 4 3 ,19.00000000,3.37800788,11.410937249378,(AND1 (WIRE (WIRE (OR1 (AND1 C A) (AND1 D B)))) (XOR1 (NOT1 (WIRE (OR1 D B))) (WIRE (OR1 (AND1 C A) (AND1 D B))))),(NOT1 (XOR1 (NOT1 (WIRE (OR1 D B))) (WIRE (OR1 (AND1 C A) (AND1 D B))))),(WIRE (WIRE (WIRE (XOR1 (AND1 C A) (OR1 C A)))))
