Centro de Investigación y de Estudios Avanzados del IPN,,,,,,,,,,,
Design of Combinational Logic Circuits using Particle Swarm Optimization,,,,,,,,,,,
Department of Electrical Engineering - Computing Section,,,,,,,,,,,
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx,,,,,,,,,,,
,,,,,,,,,,,
Statistics of the results obtained in all program runs,,,,,,,,,,,
,,,,,,,,,,,
     Processed File:,   data_files/experiment3.dta,,,,,,,,,,
   Population Size:,300,,,,,,,,,,
Number of Generations:,2000,,,,,,,,,,
                 Phi 1:,2,,,,,,,,,,
                 Phi 2:,2,,,,,,,,,,
                  Vmax:,4,,,,,,,,,,
Mutation Percentage:,2,,,,,,,,,,
  Number of Gates:,5,,,,,,,,,,
        Cardinality:,10,,,,,,,,,,
Rows in the Matrix:,5,,,,,,,,,,
Columns in the Matrix:,5,,,,,,,,,,
       Neighborhood:,3,,,,,,,,,,
   Representation:, Integer B,,,,,,,,,,
,,,,,,,,,,,
Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression,,
0,41.27846667,1895,'2 0 0 3 3 0 3 3 2 2 4 1 1 3 3 3 1 3 0 4 4 4 0 0 0 3 0 2 3 3 4 1 2 1 1 3 3 3 2 2 2 3 3 0 4 4 4 1 1 2 2 0 1 4 3 3 1 1 0 0 4 3 1 2 3 3 0 0 0 3 1 3 1 0 3 ,62,'0 4 3 3 3 3 1 0 3 3 2 0 0 4 0 4 1 1 1 4 1 3 1 4 4 2 0 4 3 4 2 0 2 0 1 2 2 3 2 2 1 4 1 1 0 4 3 4 4 0 1 1 0 2 1 2 4 1 3 3 4 2 3 1 1 4 0 0 0 0 1 2 2 1 2 ,22,3.42314568,11.71792632,(OR1 (AND1 (WIRE (XOR1 (AND1 C A) (WIRE B))) (NOT1 (WIRE (NOT1 D)))) (OR1 (WIRE (AND1 (WIRE B) (AND1 C A))) (WIRE (AND1 (WIRE B) (AND1 C A))))),(WIRE (XOR1 (NOT1 (WIRE (NOT1 D))) (WIRE (XOR1 (AND1 C A) (WIRE B))))),(AND1 (OR1 (XOR1 (AND1 (AND1 C A) (OR1 C A)) (WIRE (OR1 C A))) (XOR1 (AND1 (AND1 C A) (OR1 C A)) (WIRE (OR1 C A)))) (OR1 (XOR1 (AND1 (AND1 C A) (OR1 C A)) (WIRE (OR1 C A))) (XOR1 (AND1 (AND1 C A) (OR1 C A)) (WIRE (OR1 C A)))))
1,40.25795,1975,'3 2 0 2 0 0 2 0 1 1 3 4 3 1 3 2 4 1 4 2 2 1 4 4 2 3 4 4 2 0 4 0 0 4 3 4 2 3 3 2 0 4 2 3 1 3 4 4 3 0 4 3 0 2 3 1 1 3 1 4 0 4 4 4 4 3 1 0 3 0 3 0 4 4 4 ,58,'3 3 3 1 0 1 4 4 4 2 0 2 2 2 4 0 2 1 4 3 3 2 2 0 4 3 0 1 3 0 4 2 0 2 1 4 3 1 3 3 3 0 4 4 1 2 2 2 2 4 4 1 4 2 3 1 0 3 4 2 2 4 1 1 4 0 0 3 4 4 1 3 2 1 1 ,22,2.79821225,7.829991798,(XOR1 (XOR1 (XOR1 (XOR1 (AND1 C A) (WIRE D)) (OR1 (OR1 C A) (WIRE D))) (OR1 (XOR1 (AND1 C A) (WIRE D)) (XOR1 (OR1 C A) (XOR1 B D)))) (XOR1 (XOR1 (XOR1 (AND1 C A) (WIRE D)) (OR1 (OR1 C A) (WIRE D))) (XOR1 (AND1 (WIRE D) (OR1 C A)) (XOR1 (OR1 C A) (XOR1 B D))))),(WIRE (XOR1 (XOR1 (XOR1 (AND1 C A) (WIRE D)) (OR1 (OR1 C A) (WIRE D))) (XOR1 (AND1 (WIRE D) (OR1 C A)) (XOR1 (OR1 C A) (XOR1 B D))))),(WIRE (XOR1 (XOR1 (XOR1 (AND1 C A) (WIRE D)) (OR1 (OR1 C A) (WIRE D))) (AND1 (AND1 (WIRE D) (OR1 C A)) (OR1 (OR1 C A) (WIRE D)))))
