Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   5
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,41.77834667,292,'0 2 0 3 4 3 1 3 3 1 2 4 4 2 4 3 4 4 0 1 4 2 2 3 2 4 2 4 0 2 1 1 0 2 4 3 4 4 3 3 0 2 2 4 4 4 4 2 2 3 4 2 4 3 0 3 1 0 3 0 4 2 3 4 3 4 2 3 2 3 1 3 0 0 0 ,46.00000000,'0 3 1 1 0 4 4 2 1 2 2 3 4 3 0 3 1 1 3 2 1 1 3 1 3 3 3 4 3 2 1 0 1 3 3 1 1 3 0 4 1 0 3 0 1 3 3 1 1 2 1 0 4 4 3 4 4 3 2 1 3 1 2 1 1 4 4 4 2 0 1 3 3 3 0 ,20.00000000,3.38171699,11.436009799816,(WIRE (AND1 (AND1 (XOR1 (AND1 A C) (WIRE D)) (XOR1 (AND1 A C) (WIRE D))) (NOT1 (NOT1 (WIRE B))))),(XOR1 (AND1 (AND1 (XOR1 (AND1 A C) (WIRE D)) (XOR1 (AND1 A C) (WIRE D))) (NOT1 (NOT1 (WIRE B)))) (OR1 (AND1 (XOR1 (AND1 A C) (WIRE D)) (XOR1 (AND1 A C) (WIRE D))) (NOT1 (NOT1 (WIRE B))))),(NOT1 (WIRE (WIRE (NOT1 (XOR1 A C)))))
1,41.17590333,890,'1 2 4 2 4 0 2 4 1 3 4 3 1 4 3 4 3 1 4 3 0 1 2 0 2 4 2 1 2 0 2 2 2 1 0 4 4 0 3 2 3 1 4 1 1 2 1 4 4 2 3 4 4 2 2 0 2 3 1 2 1 1 0 0 0 0 3 4 0 1 1 2 1 3 2 ,47.00000000,'3 4 0 2 2 1 0 2 0 0 2 4 0 0 4 2 0 1 1 0 1 0 4 4 4 1 2 4 0 4 3 3 2 0 3 3 4 0 1 1 0 4 3 0 1 1 0 3 1 4 3 0 4 0 2 1 0 3 3 4 2 0 2 2 1 2 0 4 1 4 4 2 0 4 1 ,20.00000000,3.41187261,11.640874683973,(AND1 (WIRE (OR1 (AND1 (AND1 C A) (OR1 C A)) (AND1 (WIRE B) (WIRE D)))) (WIRE (OR1 (AND1 (AND1 C A) (OR1 C A)) (AND1 (WIRE B) (WIRE D))))),(AND1 (XOR1 (WIRE (AND1 (AND1 C A) (OR1 C A))) (XOR1 (AND1 (WIRE B) (WIRE D)) (OR1 (WIRE B) (WIRE D)))) (XOR1 (WIRE (AND1 (AND1 C A) (OR1 C A))) (XOR1 (AND1 (WIRE B) (WIRE D)) (OR1 (WIRE B) (WIRE D))))),(AND1 (NOT1 (WIRE (AND1 (AND1 C A) (OR1 C A)))) (NOT1 (OR1 (AND1 (AND1 C A) (OR1 C A)) (NOT1 (OR1 C A)))))
2,41.13590167,1878,'1 2 2 4 2 1 4 2 0 3 3 2 4 2 4 3 0 1 3 2 2 2 2 0 1 4 1 3 0 4 0 3 2 2 2 1 3 3 1 3 4 4 3 2 1 0 1 1 3 3 3 4 4 3 3 3 1 4 1 4 0 0 0 4 1 4 4 4 3 0 1 4 3 2 0 ,47.00000000,'2 3 3 2 0 2 3 3 1 2 1 4 4 2 0 0 1 0 1 1 2 0 4 0 0 0 4 3 4 4 2 0 0 1 0 3 2 0 2 4 1 0 2 3 1 2 4 0 3 3 4 4 3 2 0 4 2 3 0 1 2 0 4 3 2 3 0 3 3 2 3 3 0 1 4 ,20.00000000,3.05982065,9.362502403648,(AND1 (OR1 (NOT1 (OR1 (NOT1 D) (NOT1 B))) (OR1 (AND1 (AND1 A C) (AND1 A C)) (AND1 (AND1 A C) (AND1 A C)))) (OR1 (NOT1 (OR1 (NOT1 D) (NOT1 B))) (OR1 (AND1 (AND1 A C) (AND1 A C)) (AND1 (AND1 A C) (AND1 A C))))),(XOR1 (XOR1 (OR1 (OR1 (OR1 A C) (XOR1 A C)) (AND1 (AND1 A C) (AND1 A C))) (OR1 (AND1 (AND1 A C) (AND1 A C)) (AND1 (AND1 A C) (AND1 A C)))) (WIRE (XOR1 (OR1 (OR1 A C) (XOR1 A C)) (XOR1 (NOT1 D) (NOT1 B))))),(WIRE (XOR1 (OR1 (OR1 (OR1 A C) (XOR1 A C)) (AND1 (AND1 A C) (AND1 A C))) (OR1 (AND1 (AND1 A C) (AND1 A C)) (AND1 (AND1 A C) (AND1 A C)))))
3,41.47081833,1259,'1 3 4 2 0 1 0 2 4 1 3 0 1 3 1 3 3 0 0 1 3 2 4 1 2 1 4 1 4 3 3 1 4 3 2 0 1 3 3 0 0 0 2 4 0 0 0 1 1 3 1 1 4 4 1 1 1 2 2 3 1 4 3 0 4 3 2 2 3 1 3 2 3 2 3 ,61.00000000,'1 0 1 4 4 4 3 2 2 1 4 1 2 2 1 3 1 4 3 4 3 0 0 1 3 2 0 0 0 2 4 4 4 0 0 1 4 2 0 3 4 1 1 4 1 4 4 4 1 1 0 1 1 0 0 0 2 3 1 3 4 0 3 4 3 3 0 2 2 1 4 3 2 4 0 ,20.00000000,4.11618291,16.942961763652,(WIRE (OR1 (AND1 (XOR1 (XOR1 A C) (OR1 C A)) (OR1 (XOR1 A C) (OR1 B D))) (AND1 (AND1 (AND1 B D) (AND1 B D)) (AND1 (AND1 B D) (AND1 B D))))),(WIRE (OR1 (XOR1 (XOR1 (XOR1 A C) (OR1 C A)) (WIRE (XOR1 B D))) (XOR1 (XOR1 (XOR1 A C) (OR1 C A)) (WIRE (XOR1 B D))))),(WIRE (XOR1 (AND1 (XOR1 (XOR1 A C) (OR1 C A)) (OR1 (XOR1 A C) (OR1 B D))) (AND1 (OR1 (XOR1 A C) (OR1 B D)) (WIRE (OR1 C A)))))
4,41.87788833,255,'1 3 1 1 3 0 0 2 4 0 3 1 4 2 1 1 2 4 4 1 4 1 0 2 0 2 0 1 0 4 4 4 4 2 4 2 1 1 1 4 2 3 1 0 4 2 4 4 2 1 4 0 1 4 4 3 4 1 4 1 4 2 1 3 3 3 0 2 4 2 1 4 0 1 0 ,47.00000000,'3 3 3 1 4 0 2 3 1 2 1 2 3 1 3 1 2 4 4 2 4 1 4 3 4 1 1 1 4 1 3 1 4 0 0 0 0 4 3 3 3 4 3 0 1 1 3 0 2 2 1 4 1 0 4 2 2 0 1 2 0 1 2 0 0 2 3 1 1 3 1 2 4 4 1 ,23.00000000,3.53264402,12.479573740856,(OR1 (OR1 (NOT1 (NOT1 (AND1 B D))) (XOR1 (XOR1 (OR1 A C) (AND1 B D)) (XOR1 (AND1 B D) (XOR1 A C)))) (XOR1 (XOR1 (XOR1 (AND1 B D) (OR1 B D)) (XOR1 (AND1 B D) (OR1 B D))) (NOT1 (NOT1 (AND1 B D))))),(WIRE (XOR1 (XOR1 (XOR1 (OR1 A C) (AND1 B D)) (XOR1 (AND1 B D) (XOR1 A C))) (WIRE (XOR1 (AND1 B D) (OR1 B D))))),(XOR1 (XOR1 (OR1 (XOR1 (OR1 A C) (AND1 B D)) (XOR1 (OR1 A C) (AND1 B D))) (XOR1 (XOR1 (OR1 A C) (AND1 B D)) (XOR1 (AND1 B D) (XOR1 A C)))) (XOR1 (XOR1 (XOR1 (AND1 B D) (OR1 B D)) (XOR1 (AND1 B D) (OR1 B D))) (NOT1 (NOT1 (AND1 B D)))))
5,41.06637167,446,'2 4 3 1 3 4 4 4 3 1 3 1 3 4 2 0 0 2 0 2 4 1 4 3 2 0 0 3 4 3 4 1 2 3 2 4 3 4 3 1 2 3 4 4 1 3 3 3 1 0 1 3 2 3 1 2 2 1 2 3 1 1 2 4 2 3 2 2 0 3 4 4 0 4 3 ,47.00000000,'1 4 1 4 0 3 1 4 2 1 2 1 4 1 2 2 2 0 4 1 4 2 0 4 4 2 3 0 3 1 3 3 3 0 4 0 1 1 4 0 1 3 0 1 4 2 3 1 3 1 0 0 3 4 0 3 0 1 1 2 4 3 1 0 3 3 0 0 2 1 0 3 0 0 1 ,24.00000000,3.23970623,10.495696468546,(NOT1 (OR1 (XOR1 (AND1 (WIRE A) (WIRE C)) (WIRE (XOR1 B D))) (NOT1 (WIRE (OR1 B D))))),(WIRE (WIRE (XOR1 (AND1 (WIRE A) (WIRE C)) (WIRE (XOR1 B D))))),(AND1 (WIRE (WIRE (XOR1 (WIRE C) (WIRE A)))) (WIRE (WIRE (XOR1 (WIRE C) (WIRE A)))))
6,41.55676833,1952,'1 3 1 3 1 4 4 1 3 2 1 1 2 0 3 4 2 0 1 4 3 1 3 3 2 4 4 3 0 0 0 3 3 3 4 4 1 1 2 4 4 1 0 0 0 1 3 3 2 4 1 3 4 3 2 1 1 0 2 4 1 2 0 4 4 2 2 0 4 3 3 2 1 4 1 ,60.00000000,'0 2 2 3 2 1 4 1 0 2 0 0 3 0 3 0 2 0 0 1 3 3 4 3 4 3 3 1 4 1 2 2 3 0 2 4 1 4 0 0 2 2 0 1 2 2 2 4 0 2 1 4 3 2 4 2 2 2 2 2 2 2 2 4 3 4 2 0 2 0 2 3 1 4 4 ,22.00000000,3.49537228,12.217627356335,(AND1 (OR1 (NOT1 (WIRE (XOR1 D B))) (AND1 (AND1 (WIRE C) (WIRE A)) (AND1 (WIRE C) (WIRE A)))) (WIRE (OR1 (AND1 (OR1 C B) (OR1 B D)) (AND1 (OR1 C B) (OR1 B D))))),(NOT1 (XOR1 (WIRE (AND1 (WIRE C) (WIRE A))) (NOT1 (WIRE (XOR1 D B))))),(XOR1 (WIRE (OR1 (AND1 (OR1 C B) (OR1 B D)) (AND1 (OR1 C B) (OR1 B D)))) (WIRE (XOR1 (XOR1 (WIRE A) (WIRE C)) (AND1 (OR1 C B) (OR1 B D)))))
7,41.19632667,1171,'2 4 4 3 1 4 4 4 1 1 3 4 1 3 1 3 1 2 0 0 1 1 2 4 4 3 4 0 3 0 3 4 2 0 1 3 1 1 3 2 1 1 4 2 3 3 4 4 4 3 3 0 2 2 1 3 1 2 4 1 2 3 3 0 4 4 3 4 0 2 3 0 3 3 3 ,46.00000000,'4 1 0 4 3 3 2 3 3 3 2 2 4 1 0 1 1 3 0 3 4 0 0 1 2 4 1 0 3 3 3 4 4 2 4 3 3 0 3 0 4 1 3 1 4 2 2 1 4 3 2 0 4 2 4 0 3 4 0 1 4 0 3 3 4 0 2 3 2 3 1 4 1 3 3 ,21.00000000,3.08255346,9.502135839894,(WIRE (NOT1 (NOT1 (XOR1 (OR1 B D) (XOR1 B D))))),(XOR1 (XOR1 (OR1 (XOR1 (XOR1 D B) (OR1 A A)) (OR1 (XOR1 C A) (XOR1 C A))) (WIRE (AND1 (XOR1 C A) (XOR1 B D)))) (OR1 (WIRE (OR1 (XOR1 C A) (XOR1 C A))) (WIRE (AND1 (XOR1 C A) (XOR1 B D))))),(AND1 (OR1 (WIRE (NOT1 (XOR1 B D))) (OR1 (XOR1 (XOR1 D B) (OR1 A A)) (OR1 (XOR1 C A) (XOR1 C A)))) (OR1 (WIRE (OR1 (XOR1 C A) (XOR1 C A))) (WIRE (AND1 (XOR1 C A) (XOR1 B D)))))
8,42.26553500,368,'4 0 3 2 2 3 2 1 4 3 3 1 2 1 4 2 2 4 1 0 0 0 1 4 1 4 4 3 4 3 2 2 3 1 4 4 1 3 3 3 1 3 1 3 4 1 3 4 1 3 4 3 4 0 1 4 1 0 0 1 3 1 4 1 4 3 4 1 3 4 3 3 4 2 4 ,64.00000000,'2 2 4 3 3 3 0 0 4 2 0 4 0 2 3 0 0 4 3 3 3 3 3 2 1 4 1 2 0 0 4 1 3 1 4 4 2 4 2 4 3 4 2 0 0 1 4 4 2 4 2 2 4 4 3 0 4 0 3 1 3 4 3 2 1 4 2 3 2 0 1 0 3 2 2 ,18.00000000,5.76488041,33.233846163740,(XOR1 (OR1 (XOR1 (AND1 (WIRE C) (WIRE A)) (WIRE (OR1 D D))) (XOR1 (AND1 (WIRE C) (WIRE A)) (XOR1 (WIRE C) (XOR1 C B)))) (XOR1 (XOR1 (AND1 (WIRE C) (WIRE A)) (WIRE (OR1 D D))) (WIRE (XOR1 (WIRE C) (XOR1 C B))))),(WIRE (XOR1 (XOR1 (AND1 (WIRE C) (WIRE A)) (WIRE (OR1 D D))) (WIRE (XOR1 (WIRE C) (XOR1 C B))))),(WIRE (OR1 (WIRE (XOR1 (WIRE A) (WIRE C))) (WIRE (XOR1 (WIRE A) (WIRE C)))))
9,41.30303167,619,'3 1 2 1 2 4 1 3 1 2 4 2 0 0 0 2 4 2 0 1 4 2 3 0 3 4 1 3 4 4 3 1 4 0 2 2 3 1 4 3 0 3 4 4 2 0 1 4 0 3 3 3 3 3 4 2 3 1 1 1 0 4 0 1 1 1 3 4 3 0 3 3 2 3 1 ,47.00000000,'0 0 4 3 2 4 1 4 3 4 0 1 1 1 4 1 0 0 2 0 3 0 2 1 1 2 4 3 3 4 0 3 2 3 1 0 1 1 4 4 1 1 1 0 2 1 2 2 4 3 0 0 1 1 0 4 2 1 2 2 0 4 3 3 1 1 4 3 4 0 1 3 3 0 4 ,22.00000000,3.65491224,13.358383475640,(AND1 (XOR1 (XOR1 (OR1 (NOT1 C) (AND1 A A)) (XOR1 (NOT1 D) (XOR1 B C))) (NOT1 (NOT1 (OR1 B D)))) (OR1 (NOT1 (NOT1 (OR1 B D))) (NOT1 (NOT1 (OR1 B D))))),(OR1 (WIRE (XOR1 (OR1 (NOT1 C) (AND1 A A)) (XOR1 (NOT1 D) (XOR1 B C)))) (WIRE (XOR1 (OR1 (NOT1 C) (AND1 A A)) (XOR1 (NOT1 D) (XOR1 B C))))),(WIRE (WIRE (NOT1 (XOR1 (NOT1 C) (AND1 A A)))))
